pc_item_id,pc_item_name,fk_im_spec_master_desc,fk_im_spec_options_desc,glcat_mcat_id,glcat_mcat_name
255733943,Polycab 0.5 Sq.Mm 2 Core Fr Industrial Flexible Cable Black (100 M),Type of Product,Industrial Flexible Cable,208737,Polycab House Wire
175936792,"Polycab PVC Insulated Electrical Cable, 6 sq mm",Current Rating,13A,208737,Polycab House Wire
269914856,Copper Wire 6 Core 2.5 Sqmm Make Polycab,Roll Length,90 m,208737,Polycab House Wire
265339295,Polycab Wire,,,208737,Polycab House Wire
171784463,Green Polycab House Wires,Certifications,CE,208737,Polycab House Wire
229683873,1sq Mm Polycab House Wire,Number Of Cores,Single Core,208737,Polycab House Wire
161204836,Polycab Wire Cables,,,208737,Polycab House Wire
277817996,Polycab Optima Plus House Wire,Wire Size,0.75 sqmm,208737,Polycab House Wire
184777109,Polycab Blue House Copper Wire,Conductor,Copper,208737,Polycab House Wire
281625530,Polycab 4.0 Sq Mm Wire,Insulation Material,FRLS,208737,Polycab House Wire
258649957,Electric Wire Supplier in Tehri Garhwal Uttarakhand,Conductor,Copper,208737,Polycab House Wire
181187473,Electrical Polycab Wire,Roll Length,200 m,208737,Polycab House Wire
158817144,Polycab House Wires,Roll Length,90m,208737,Polycab House Wire
241036722,Pymen FRLSH Wire - 0.75sqmm,Certifications,IS 694,208737,Polycab House Wire
131291080,Polycab House Wire,Length,90 mm,208737,Polycab House Wire
273606695,Polycab Etira 4 Sq Mm Wire,Suitable for,Homes,208737,Polycab House Wire
122996690,Polycab Copper Wire Flame Retardant (FR),Color,All Colours available,208737,Polycab House Wire
262034688,Polycab FR LSH Panel Wire,Current Rating,7A,208737,Polycab House Wire
192645672,Polycab House Wire,Certifications,CE,208737,Polycab House Wire
123835614,Polycab Wire Cable,Voltage,240 V,208737,Polycab House Wire
281601786,Polycab Wire And Cables,Shielded,Yes,208737,Polycab House Wire
244720638,2.5 sqmm Polycab LF FR house wire,Number Of Cores,Single Core,208737,Polycab House Wire
247139180,1sqmm Polycab House Wire,Number Of Cores,Single Core,208737,Polycab House Wire
239544752,Polycab 1.5 Sq Mm FRLS-H House Wire 300 Meter Yellow.,Certifications,RoHS Compliant,208737,Polycab House Wire
287117208,Polycab House Wire,Colour,White,208737,Polycab House Wire
164286508,Polycab Wire,,,208737,Polycab House Wire
173599371,2.5sq.mm House Wire Polycab,Conductor,Copper,208737,Polycab House Wire
256320084,Polycab 2.5 Sqmm HR FR LSH LF Green Wire,Insulation Material,HRFR,208737,Polycab House Wire
106886420,Polycab Electrical Wire,Voltage,1100V,208737,Polycab House Wire
85909480,Polycab Industrial Multi Core Flexible Cables,,,208737,Polycab House Wire
280257106,Polycab Wire 1.5 Sq Mm House wire,Color,Black,208737,Polycab House Wire
200466035,Green Polycab Insulated Copper Wire,Voltage,220V,208737,Polycab House Wire
137001235,Polycab Wire,,,208737,Polycab House Wire
147292592,Polycab House Wires,,,208737,Polycab House Wire
191891946,Polycab House Wire,Certifications,RoHS Compliant,208737,Polycab House Wire
273224435,1 Sq mm Polycab House Wire,Voltage,220V,208737,Polycab House Wire
